"",".imp","H0_g1","H1_g1","H0_g2","H1_g2","p01","p11","beta1","beta2","tau2","bias_b0CC","bias_b1CC","omv_bias_b0","omv_bias_b1"
"49",49,0.333333333333333,0.0588235294117647,0.492307692307692,0.111111111111111,0.0350877192982456,0.411764705882353,0.252757736134189,0.0401323839719431,0.0605064476202955,0.0724175625078758,0.0144275612532962,0.00140815382357695,0.0151169454589878
"50",50,0.344827586206897,0,0.45,0.428571428571429,0.103448275862069,0.5,0.449780408618102,-0.31094777820633,0.0472555773765722,0.0674471794321552,-0.00192879566344712,-0.0321670115385859,-0.123306877564579
"51",51,0.296296296296296,0.2,0.492307692307692,0.111111111111111,0.0555555555555556,0.3,0.26309719321245,-0.0166472794079223,0.0640356505881152,0.0660801350890224,0.0560783249735741,-0.000924848855995685,-0.00406933496638101
"52",52,0.344827586206897,0,0.459016393442623,0.384615384615385,0.0689655172413793,0.5625,0.439076402160722,-0.220904430082579,0.0568010523508593,0.0728265408424445,-0.00231840619744254,-0.0152347882815571,-0.109023953639893
"53",53,0.309090909090909,0.157894736842105,0.4,0.578947368421053,0.127272727272727,0.631578947368421,0.240715756779432,-0.107933346434695,0.0630095260349806,0.0684152521680863,0.0434753270767022,-0.0137369713644158,-0.0544314579627603
"54",54,0.333333333333333,0.0588235294117647,0.476190476190476,0.272727272727273,0.0350877192982456,0.529411764705882,0.434163630785422,-0.249759453234898,0.0584392547651191,0.0712914263104323,0.0143103939030619,-0.0087634895871894,-0.123462103301874
"55",55,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.127272727272727,0.421052631578947,0.182407407643797,0.23145777824872,0.0482388290884904,0.0609538852493136,0.0402041966553574,0.0294582626862007,0.0679976439448392
"56",56,0.333333333333333,0.0588235294117647,0.484375,0.2,0.0350877192982456,0.470588235294118,0.222014864320288,0.0949627912915703,0.0602020327146269,0.0722517276446911,0.0144103071844367,0.0033320277646165,0.0413563446078872
"57",57,0.321428571428571,0.111111111111111,0.476190476190476,0.272727272727273,0.0357142857142857,0.5,0.39399235578244,-0.181089826366528,0.0577440220233861,0.0683800912411419,0.0290628641680348,-0.00646749379880458,-0.0840774193844595
"58",58,0.296296296296296,0.2,0.410714285714286,0.555555555555556,0.166666666666667,0.45,0.301161345278286,-0.127796323464575,0.0607760887141133,0.0645017366967061,0.0551272245797864,-0.0212993872440959,-0.036208958314963
"59",59,0.333333333333333,0.0588235294117647,0.492307692307692,0.111111111111111,0.0350877192982456,0.411764705882353,0.360196136643638,-0.181502916208927,0.0622379211140337,0.0733608102417919,0.0145257002153936,-0.00636852337575181,-0.0683679715338062
"60",60,0.344827586206897,0,0.4,0.578947368421053,0.189655172413793,0.5,0.310010481351168,-0.0360393759383301,0.0582670469010055,0.0736527034516382,-0.00237824260380843,-0.00683505405726949,-0.0111846339118955
