"",".imp","H0_g1","H1_g1","H0_g2","H1_g2","p01","p11","beta1","beta2","tau2","bias_b0CC","bias_b1CC","omv_bias_b0","omv_bias_b1"
"27",27,0.283018867924528,0.238095238095238,0.440677966101695,0.466666666666667,0.0566037735849057,0.571428571428571,0.199547426068549,0.0856216832321643,0.0604572502526551,0.0614638540690562,0.0660157843420071,0.00484651037163194,0.0440801657610334
"28",28,0.254901960784314,0.304347826086957,0.421052631578947,0.529411764705882,0.0784313725490196,0.565217391304348,0.246652755334042,-0.0229918480065342,0.0627915512254565,0.0563300775114169,0.0862408106841821,-0.00180328219659092,-0.0111921101549284
"29",29,0.224489795918367,0.36,0.431034482758621,0.5,0.102040816326531,0.44,0.120705754812212,0.106937356510113,0.0657620566885204,0.050699205968888,0.104251783190064,0.0109119751540931,0.0361404617103565
"30",30,0.321428571428571,0.111111111111111,0.45,0.428571428571429,0.0357142857142857,0.666666666666667,0.466738627322988,-0.224769076233542,0.056481265496682,0.0677167526291686,0.0288816054988897,-0.0080274670083408,-0.141818583814021
"31",31,0.254901960784314,0.304347826086957,0.365384615384615,0.636363636363636,0.176470588235294,0.565217391304348,0.253458505064215,-0.0338927005079231,0.0610099917463049,0.0555879053156776,0.0854084252156619,-0.00598106479551585,-0.013175678969832
"32",32,0.269230769230769,0.272727272727273,0.431034482758621,0.5,0.0576923076923077,0.590909090909091,0.313464858705274,-0.0977524694103041,0.0611224083862529,0.0587621329092244,0.0762866181881249,-0.00563956554290216,-0.0521232572904594
"33",33,0.283018867924528,0.238095238095238,0.467741935483871,0.333333333333333,0.0377358490566038,0.476190476190476,0.244421664687062,-0.0556893521761743,0.0648948629132723,0.0635164145317149,0.0675938809411873,-0.00210148498778016,-0.0244172541437314
"34",34,0.269230769230769,0.272727272727273,0.431034482758621,0.5,0.0576923076923077,0.590909090909091,0.229586729035373,-0.134262009729382,0.065591140487365,0.0607283894910186,0.0781360006778061,-0.00774588517669511,-0.0715907569361215
"35",35,0.254901960784314,0.304347826086957,0.410714285714286,0.555555555555556,0.0392156862745098,0.695652173913043,0.486504802426943,-0.375470842176631,0.0600531801467192,0.055189311289442,0.0849613808812308,-0.0147243467520247,-0.24647276084911
"36",36,0.269230769230769,0.272727272727273,0.410714285714286,0.555555555555556,0.0769230769230769,0.636363636363636,0.3319781470533,-0.139477272978291,0.0613626359952361,0.0588678338343647,0.0763860362609785,-0.0107290209983301,-0.0780292436242189
"37",37,0.296296296296296,0.2,0.476190476190476,0.272727272727273,0.0555555555555556,0.4,0.29609020283211,-0.163191870992606,0.0614943582201255,0.064849548911158,0.0553368068599888,-0.00906621505514476,-0.0562105333418975
"38",38,0.283018867924528,0.238095238095238,0.476190476190476,0.272727272727273,0.0754716981132075,0.333333333333333,0.187159681154498,0.105828910137544,0.0625317604706393,0.0624233919959701,0.0667535182927458,0.00798708755755046,0.0272892158216308
"39",39,0.254901960784314,0.304347826086957,0.459016393442623,0.384615384615385,0.0392156862745098,0.478260869565217,0.315082364300806,-0.296506339468009,0.0605980009121075,0.0554162758272328,0.0852159336443377,-0.0116276995869808,-0.130179680158589
"40",40,0.283018867924528,0.238095238095238,0.459016393442623,0.384615384615385,0.0566037735849057,0.476190476190476,0.214833861082379,0.0165383281731027,0.0637457419066763,0.0629849034411049,0.0671852323971966,0.000936131783383174,0.00693926258476099
"41",41,0.296296296296296,0.2,0.476190476190476,0.272727272727273,0.0555555555555556,0.4,0.312739890552152,-0.192672354127031,0.061914460425901,0.0650529776760768,0.05545938755911,-0.010704019673724,-0.0663649219770886
"42",42,0.269230769230769,0.272727272727273,0.45,0.428571428571429,0.0576923076923077,0.5,0.377505463830111,-0.211561512137037,0.0596665732054366,0.0581215607197267,0.0756841215447049,-0.0122054718540599,-0.0935752842144589
"43",43,0.269230769230769,0.272727272727273,0.410714285714286,0.555555555555556,0.0576923076923077,0.681818181818182,0.38482723681151,-0.37331141485539,0.0571888305605853,0.0570313459399643,0.0746587090210533,-0.0215371970108879,-0.232993313117787
"44",44,0.296296296296296,0.2,0.440677966101695,0.466666666666667,0.037037037037037,0.65,0.220719505678134,0.039049522914417,0.0612191576725337,0.0647162867984341,0.0552565066971746,0.00144627862645989,0.0239359112679112
